dataset,processed_input,reference,max_new_tokens,stop_sequence,extraction_method,evaluation_metric,id
winogrande,"Choose the correct answer. Respond with a single letter.
Context:
The computer of Victoria ran faster than that of Carrie because _ downloaded less files.
Options:
A. Victoria
B. Carrie
Answer:
",A,1,['\n'],multiple_choice,exact_match,winogrande_1
winogrande,"Choose the correct answer. Respond with a single letter.
Context:
Judy bought new brushes to paint the etched glasses crack but it didn't fit. The _ was too narrow.
Options:
A. brush
B. crack
Answer:
",B,1,['\n'],multiple_choice,exact_match,winogrande_2
winogrande,"Choose the correct answer. Respond with a single letter.
Context:
Fiction books were interesting and easy to read for  Logan but not Brett because _ enjoyed real tales.
Options:
A. Logan
B. Brett
Answer:
",B,1,['\n'],multiple_choice,exact_match,winogrande_3
winogrande,"Choose the correct answer. Respond with a single letter.
Context:
Smoke still rose from the house but had subsided at the barn.  The fire was doused at the _ .
Options:
A. house
B. barn
Answer:
",B,1,['\n'],multiple_choice,exact_match,winogrande_4
winogrande,"Choose the correct answer. Respond with a single letter.
Context:
The barista loved to make all types of coffee including iced and hot. The _ coffee was popular in the cooler weathers.
Options:
A. iced
B. hot
Answer:
",B,1,['\n'],multiple_choice,exact_match,winogrande_5
winogrande,"Choose the correct answer. Respond with a single letter.
Context:
The dog that Laura found was dirtier than Amy's dog, since _ dog lived in the street.
Options:
A. Laura
B. Amy
Answer:
",A,1,['\n'],multiple_choice,exact_match,winogrande_6
winogrande,"Choose the correct answer. Respond with a single letter.
Context:
Lawrence liked watching foreign movies with subtitles unlike Jason because _ criticized the original language of the film.
Options:
A. Lawrence
B. Jason
Answer:
",B,1,['\n'],multiple_choice,exact_match,winogrande_7
winogrande,"Choose the correct answer. Respond with a single letter.
Context:
Justin brought a a saw and hammer to prepare making a cupboard for Benjamin because _ is his employer.
Options:
A. Justin
B. Benjamin
Answer:
",B,1,['\n'],multiple_choice,exact_match,winogrande_8
winogrande,"Choose the correct answer. Respond with a single letter.
Context:
Neil looked all over the neighborhood for their missing dog until Samuel called and _ got their dog back.
Options:
A. Neil
B. Samuel
Answer:
",A,1,['\n'],multiple_choice,exact_match,winogrande_9
winogrande,"Choose the correct answer. Respond with a single letter.
Context:
Only the bag got melted and not the wood when they were inside the flame. The _ is soft.
Options:
A. wood
B. bag
Answer:
",B,1,['\n'],multiple_choice,exact_match,winogrande_10
winogrande,"Choose the correct answer. Respond with a single letter.
Context:
In the hotel laundry room, Felicia burned Mary's shirt while ironing it, so the manager gave _ a refund.
Options:
A. Felicia
B. Mary
Answer:
",B,1,['\n'],multiple_choice,exact_match,winogrande_11
